h3,hour,dow,impact,tickets
8a6014580ac7fff,11,Tuesday,7.800000000000001,1
8a6014580ad7fff,2,Tuesday,1.0,1
8a6014580ad7fff,4,Sunday,9.0,9
8a6014580ad7fff,7,Tuesday,2.0,1
8a6014580ad7fff,9,Tuesday,1.3,1
8a6014580ad7fff,10,Wednesday,1.3,1
8a6014580ad7fff,13,Sunday,3.0,3
8a6014580adffff,1,Tuesday,4.0,1
8a6014580adffff,2,Sunday,6.0,1
8a6014580adffff,3,Friday,2.0,2
8a6014580adffff,3,Saturday,4.0,1
8a6014580adffff,3,Tuesday,8.0,5
8a6014580adffff,4,Friday,7.0,7
8a6014580adffff,4,Tuesday,8.0,4
8a6014580adffff,5,Monday,2.0,1
8a6014580adffff,5,Saturday,4.0,1
8a6014580adffff,5,Thursday,4.0,1
8a6014580adffff,5,Tuesday,3.0,3
8a6014580adffff,6,Sunday,40.0,4
8a6014580adffff,6,Wednesday,2.0,2
8a6014580adffff,7,Friday,6.0,1
8a6014580adffff,7,Saturday,4.0,1
8a6014580adffff,7,Thursday,3.0,2
8a6014580adffff,7,Wednesday,2.0,1
8a6014580adffff,8,Tuesday,5.2,1
8a6014580adffff,10,Saturday,26.0,4
8a6014580adffff,10,Wednesday,2.6,1
8a6014580adffff,11,Monday,42.9,13
8a6014580adffff,11,Sunday,2.6,1
8a6014580adffff,11,Tuesday,2.6,2
8a6014580adffff,12,Thursday,4.0,1
8a6014580adffff,12,Tuesday,1.0,1
8a6014580adffff,13,Monday,20.0,5
8a6014580adffff,14,Monday,9.0,3
8a6014580adffff,14,Sunday,3.0,1
8a6014580adffff,14,Thursday,4.0,1
8a6014580af7fff,2,Wednesday,16.0,2
8a6014580af7fff,10,Thursday,1.3,1
8a6014580b67fff,5,Sunday,4.0,1
8a6014580b67fff,6,Tuesday,2.0,1
8a6014580c67fff,8,Saturday,15.600000000000001,2
8a6014580c67fff,10,Thursday,104.0,8
8a6014580c77fff,1,Wednesday,20.0,1
8a6014580c87fff,4,Monday,6.0,1
8a6014580c9ffff,7,Tuesday,8.0,1
8a6014580c9ffff,10,Monday,10.4,2
8a6014580c9ffff,12,Thursday,16.0,2
8a6014580cd7fff,10,Thursday,7.800000000000001,1
8a6014581017fff,8,Sunday,10.4,1
8a6014581017fff,11,Wednesday,3.25,1
8a601458101ffff,4,Saturday,2.0,1
8a601458101ffff,5,Monday,1.0,1
8a601458101ffff,8,Monday,5.2,1
8a6014581057fff,4,Saturday,1.0,1
8a60145810a7fff,12,Monday,1.0,1
8a60145810a7fff,13,Saturday,2.0,1
8a60145810affff,7,Sunday,8.0,1
8a6014581227fff,6,Saturday,4.0,1
8a6014581227fff,12,Tuesday,8.0,1
8a601458122ffff,8,Thursday,2.6,2
8a6014581237fff,3,Tuesday,2.0,2
8a6014581237fff,8,Thursday,1.3,1
8a6014581237fff,13,Sunday,4.0,1
8a601458124ffff,11,Tuesday,31.200000000000003,6
8a6014581277fff,11,Saturday,2.6,1
8a601458131ffff,3,Thursday,6.0,1
8a60145813affff,2,Thursday,3.0,3
8a60145813affff,3,Wednesday,4.0,1
8a60145813affff,6,Saturday,6.0,3
8a60145813affff,11,Monday,1.3,1
8a60145813affff,11,Tuesday,7.800000000000001,6
8a60145813affff,12,Saturday,2.0,2
8a60145813affff,13,Tuesday,9.0,6
8a6014581527fff,8,Tuesday,5.2,1
8a6014581667fff,7,Saturday,2.0,1
8a6014581687fff,11,Friday,5.2,1
8a601458168ffff,12,Tuesday,10.0,2
8a601458169ffff,11,Friday,5.2,2
8a60145816affff,14,Saturday,2.0,1
8a6014581a77fff,10,Thursday,1.3,1
8a6014581b4ffff,11,Wednesday,7.800000000000001,1
8a6014581b5ffff,12,Tuesday,12.0,2
8a6014581c87fff,6,Monday,28.0,4
8a6014581c87fff,6,Saturday,4.0,1
8a6014581c87fff,6,Sunday,6.0,2
8a6014581c87fff,8,Saturday,5.2,1
8a6014581c87fff,9,Saturday,1.3,1
8a6014581c87fff,9,Wednesday,20.8,4
8a6014581c87fff,10,Friday,1.3,1
8a6014581c87fff,10,Sunday,2.6,2
8a6014581c87fff,10,Tuesday,5.2,1
8a6014581c87fff,10,Wednesday,5.2,1
8a6014581c87fff,11,Friday,14.3,4
8a6014581c87fff,11,Sunday,10.4,2
8a6014581c87fff,11,Thursday,2.6,1
8a6014581c87fff,11,Wednesday,1.3,1
8a6014581c87fff,12,Friday,6.0,3
8a6014581c87fff,12,Monday,4.0,1
8a6014581c87fff,12,Thursday,4.0,1
8a6014581c87fff,13,Friday,13.0,3
8a6014581c87fff,13,Saturday,6.0,1
8a6014581c87fff,13,Sunday,4.0,1
8a6014581c87fff,13,Thursday,12.0,2
8a6014581c87fff,13,Tuesday,4.0,1
8a6014581c87fff,14,Thursday,4.0,1
8a6014581c8ffff,3,Friday,6.0,1
8a6014581c8ffff,4,Sunday,1.0,1
8a6014581c8ffff,5,Friday,1.0,1
8a6014581c8ffff,5,Sunday,1.0,1
8a6014581c8ffff,6,Friday,1.0,1
8a6014581c8ffff,10,Thursday,5.2,1
8a6014581c8ffff,11,Friday,16.900000000000002,5
8a6014581c8ffff,11,Monday,1.3,1
8a6014581c8ffff,11,Sunday,10.4,1
8a6014581c8ffff,11,Tuesday,5.2,1
8a6014581c8ffff,12,Sunday,8.0,1
8a6014581c97fff,1,Saturday,4.0,1
8a6014581c97fff,2,Monday,1.0,1
8a6014581c97fff,2,Saturday,4.0,1
8a6014581c97fff,2,Thursday,1.0,1
8a6014581c97fff,3,Monday,2.0,1
8a6014581c97fff,3,Sunday,6.0,1
8a6014581c97fff,3,Thursday,4.0,1
8a6014581c97fff,3,Wednesday,6.0,1
8a6014581c97fff,4,Saturday,1.0,1
8a6014581c97fff,5,Wednesday,1.0,1
8a6014581c97fff,6,Monday,8.0,1
8a6014581c97fff,6,Thursday,2.5,1
8a6014581c97fff,7,Friday,4.0,1
8a6014581c97fff,7,Tuesday,2.0,1
8a6014581c97fff,8,Saturday,13.0,4
8a6014581c97fff,8,Tuesday,6.5,2
8a6014581c97fff,9,Monday,2.6,2
8a6014581c97fff,9,Wednesday,5.2,1
8a6014581c97fff,10,Monday,1.3,1
8a6014581c97fff,10,Saturday,3.9000000000000004,3
8a6014581c97fff,10,Sunday,1.3,1
8a6014581c97fff,10,Thursday,1.3,1
8a6014581c97fff,11,Saturday,1.3,1
8a6014581c97fff,11,Sunday,5.2,1
8a6014581c97fff,11,Thursday,5.2,2
8a6014581c97fff,11,Tuesday,1.3,1
8a6014581c97fff,11,Wednesday,15.600000000000001,3
8a6014581c97fff,12,Friday,14.0,3
8a6014581c97fff,12,Thursday,4.0,3
8a6014581c97fff,12,Wednesday,1.0,1
8a6014581c97fff,13,Friday,4.0,1
8a6014581c97fff,13,Monday,13.0,3
8a6014581c97fff,13,Sunday,1.0,1
8a6014581c97fff,13,Thursday,1.0,1
8a6014581c97fff,13,Tuesday,4.0,1
8a6014581c97fff,13,Wednesday,2.0,2
8a6014581c97fff,14,Sunday,2.0,1
8a6014581c9ffff,11,Friday,5.2,1
8a6014581c9ffff,14,Friday,4.0,1
8a6014581cb7fff,11,Sunday,1.3,1
8a6014581cb7fff,11,Thursday,5.2,1
8a6014581cc7fff,3,Friday,2.0,2
8a6014581cc7fff,3,Thursday,2.0,1
8a6014581cc7fff,5,Sunday,4.0,1
8a6014581cc7fff,6,Thursday,1.0,1
8a6014581cc7fff,10,Tuesday,5.2,1
8a6014581cc7fff,11,Wednesday,5.2,1
8a6014581cd7fff,1,Thursday,1.0,1
8a6014581cd7fff,2,Friday,1.0,1
8a6014581cd7fff,2,Tuesday,1.0,1
8a6014581cd7fff,3,Friday,1.0,1
8a6014581cd7fff,3,Saturday,1.0,1
8a6014581cd7fff,4,Sunday,2.0,2
8a6014581cd7fff,4,Tuesday,7.0,7
8a6014581cd7fff,5,Thursday,4.0,4
8a6014581cd7fff,5,Tuesday,4.0,4
8a6014581cd7fff,6,Thursday,17.0,17
8a6014581cd7fff,6,Tuesday,3.0,3
8a6014581cd7fff,7,Friday,6.0,6
8a6014581cd7fff,7,Monday,5.0,5
8a6014581cd7fff,7,Thursday,4.0,4
8a6014581cd7fff,8,Friday,6.5,5
8a6014581cd7fff,10,Friday,3.9000000000000004,3
8a6014581cd7fff,10,Monday,24.700000000000003,16
8a6014581cd7fff,10,Sunday,36.4,26
8a6014581cd7fff,10,Thursday,7.800000000000001,6
8a6014581cd7fff,10,Wednesday,26.0,20
8a6014581cd7fff,11,Friday,2.6,2
8a6014581cd7fff,11,Monday,24.7,19
8a6014581cd7fff,11,Sunday,16.9,6
8a6014581cd7fff,11,Wednesday,7.800000000000001,6
8a6014581cd7fff,12,Friday,3.0,3
8a6014581cd7fff,12,Monday,20.0,17
8a6014581cd7fff,12,Thursday,4.0,4
8a6014581cd7fff,12,Wednesday,1.0,1
8a6014581cdffff,10,Thursday,5.2,1
8a6014581cdffff,12,Wednesday,1.0,1
8a6014582097fff,3,Wednesday,6.0,1
8a6014582427fff,9,Sunday,5.2,1
8a60145824c7fff,2,Monday,24.0,3
8a60145824c7fff,11,Wednesday,13.0,1
8a60145824c7fff,12,Sunday,4.0,1
8a60145824cffff,2,Saturday,58.0,9
8a60145824cffff,10,Sunday,10.4,2
8a60145824cffff,10,Wednesday,3.9,1
8a60145824dffff,8,Sunday,2.6,2
8a60145824dffff,12,Sunday,9.0,1
8a60145824effff,8,Sunday,13.0,1
8a6014582657fff,4,Friday,4.0,1
8a6014582687fff,3,Tuesday,10.0,1
8a601458269ffff,8,Sunday,5.2,1
8a60145826b7fff,11,Monday,16.9,2
8a60145827b7fff,2,Saturday,28.0,6
8a6014582907fff,1,Wednesday,5.0,1
8a6014582907fff,2,Thursday,10.0,1
8a6014582907fff,3,Wednesday,6.0,2
8a6014582907fff,4,Friday,8.0,1
8a6014582907fff,4,Monday,2.0,1
8a6014582907fff,5,Monday,5.0,1
8a6014582907fff,5,Saturday,4.0,1
8a6014582907fff,5,Wednesday,10.0,1
8a6014582907fff,6,Sunday,1.0,1
8a6014582907fff,8,Saturday,5.2,1
8a6014582907fff,8,Thursday,23.400000000000002,3
8a6014582907fff,8,Wednesday,7.800000000000001,2
8a6014582907fff,10,Monday,7.800000000000001,1
8a6014582907fff,10,Wednesday,5.2,1
8a6014582907fff,11,Friday,15.6,1
8a6014582907fff,12,Saturday,2.0,2
8a6014582907fff,12,Sunday,8.0,1
8a6014582907fff,13,Monday,6.0,1
8a6014582917fff,0,Monday,44.0,6
8a6014582917fff,1,Monday,16.0,2
8a6014582917fff,1,Sunday,19.0,3
8a6014582917fff,2,Friday,52.0,3
8a6014582917fff,2,Monday,20.0,1
8a6014582917fff,2,Saturday,12.0,1
8a6014582917fff,2,Sunday,24.0,2
8a6014582917fff,2,Thursday,12.0,1
8a6014582917fff,2,Tuesday,36.0,3
8a6014582917fff,2,Wednesday,38.0,4
8a6014582917fff,3,Friday,56.0,4
8a6014582917fff,3,Monday,10.0,1
8a6014582917fff,3,Saturday,36.0,2
8a6014582917fff,3,Sunday,28.0,2
8a6014582917fff,3,Thursday,16.0,1
8a6014582917fff,3,Tuesday,18.0,2
8a6014582917fff,3,Wednesday,24.0,2
8a6014582917fff,4,Friday,56.0,4
8a6014582917fff,4,Monday,60.0,5
8a6014582917fff,4,Saturday,16.0,2
8a6014582917fff,4,Thursday,56.0,3
8a6014582917fff,4,Tuesday,157.0,13
8a6014582917fff,4,Wednesday,36.0,2
8a6014582917fff,5,Thursday,8.0,1
8a6014582917fff,5,Wednesday,4.0,1
8a6014582917fff,6,Monday,32.0,2
8a6014582917fff,10,Friday,20.8,2
8a6014582917fff,10,Saturday,98.8,8
8a6014582917fff,10,Sunday,31.200000000000003,2
8a6014582917fff,10,Thursday,46.8,3
8a6014582917fff,10,Tuesday,31.2,5
8a6014582917fff,10,Wednesday,59.800000000000004,5
8a6014582917fff,11,Monday,133.9,10
8a6014582917fff,11,Saturday,23.4,2
8a6014582917fff,11,Sunday,10.4,1
8a6014582917fff,11,Thursday,137.8,8
8a6014582917fff,11,Tuesday,63.7,11
8a6014582917fff,11,Wednesday,15.6,1
8a6014582917fff,12,Friday,24.0,2
8a6014582917fff,12,Monday,20.0,2
8a6014582917fff,12,Saturday,32.0,3
8a6014582917fff,12,Sunday,6.0,1
8a6014582917fff,12,Thursday,58.0,4
8a6014582917fff,12,Wednesday,22.0,2
8a6014582917fff,13,Saturday,16.0,1
